review,rating,review_date,app_version,helpful_votes,developer_reply,country,bank,app_id,year,review_length
εύχρηστο και εύκολο στο γραφικό του..,5,2026-05-08 10:29:03,4.218.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,37
πολύ καλή,4,2026-05-08 10:20:43,4.216.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,9
Πολύ Καλή εφαρμογή.,5,2026-05-08 06:29:37,4.218.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,19
πολύ εξυπηρετικη διαδικασια,5,2026-05-07 13:20:33,4.216.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,27
αρκετά καλή εφαρμογή,5,2026-05-06 20:59:55,4.216.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,20
Δεν μπορείς να προσθέσεις νέα κάρτα στο mobile app. Μου εμφάνισε 0€ υπόλοιπο στο λογαριασμό και έψαχνα ΑΤΜ βραδιάτικα για να δω ότι το mobile app έχει θέματα τελικά. Στην αναζήτηση πληρωμών δεν μου εμφανίζει τίποτα... σαν να μην χρησιμοποιείται η κάρτα. Απαράδεκτο για μια τόσο μεγάλη τράπεζα.,1,2026-05-06 14:35:28,,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,293
Ποιο γρήγορα πάει το Firefox 05/05/26 η επικαιροποίση τηλεφώνου και mail δεν γίνεται από την εφαρμογή. Ψευδώς αναφέρει ότι θα τα πάρει από εφορία. πρέπει να μπει κάποιος από υπολογιστή ή και να πάρει τηλέφωνο,1,2026-05-05 17:55:54,4.216.0,1,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,208
ευχαριστώ. είναι ότι το. καλύτερο υπάρχει,5,2026-05-03 15:27:30,4.216.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,41
δεν βοηθάει να εξυπηρετηθω,2,2026-05-02 16:30:12,4.216.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,26
πολύ καλή εφαρμογή,4,2026-05-01 21:17:56,4.212.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,18
δυσκολία εγκατάστασης κάρτας full paas,1,2026-05-01 17:17:50,4.216.0,1,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,38
"Είστε ελεεινοί και τρισάθλιοι! Υποχρεώνετε τους πελάτες σας να αγοράσουν τηλέφωνο με android 11 για να μπορέσει να χρησιμοποιήσουν την εφαρμογή σας. Ρωτήσατε αν έχουμε λεφτά για να πάρουμε καινούργιο κινητό ή αν θέλουμε να πάρουμε? Όχι βέβαια! Θα έβαζα 0 αστέρια, αλλά δυστυχώς δεν υπάρχουν. Χάσατε άλλον έναν πελάτη. Από αύριο, σε άλλη τράπεζα. Αντε γειά! Κι αν μείνει πελάτης σε εσάς, να μου το γράψετε.",1,2026-05-01 11:10:02,4.192.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,405
Είναι δυνατόν επειδή έχω παλιό μοντέλο κινητού να μην υποστηρίζεται και να πρέπει να πάρω καινούριο για να έχω την εφαρμογή;;;; Και γώ ότι έχω μεσα μεταφορά τώρα στη eurobank μπας και βάλουν μυαλό!!!,1,2026-04-30 20:25:06,4.192.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,199
"Αρκετά χρόνια χρήστης, δουλεύει μια χαρά. Θα ήθελα μελλοντικά περισσότερες online υπηρεσίες που γίνονται μόνο με ραντεβού σε κατάστημα. Και κάποια στιγμή μια αισθητική αναβάθμιση δε θα έβλαπτε.",4,2026-04-29 23:15:48,4.216.0,3,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,193
"Δεν μπορώ πλέον να κάνω καμία συναλλαγή ή πληρωμή γιατί δεν είναι πια , λέει η συσκευή μου με την εφαρμογή . Μετά από τόσα χρόνια πελάτης δέχομαι ευχαρίστως δώρο μια καινούργια συσκευή, γιατί για να αγοράσω δεν παίζει!",1,2026-04-27 19:18:55,4.192.0,1,"Σας ευχαριστούμε. Τα σχόλιά σας είναι πολύ σημαντικά για εμάς, καθώς μέσα από αυτά προσπαθούμε συνεχώς να βελτιώνουμε τις υπηρεσίες μας και να σας παρέχουμε την καλύτερη δυνατή εξυπηρέτηση.",Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,218
Είναι μόνο για όσους έχουν ολοκαίνουργιο κινητό με υψηλές προδιαγραφές. Με παλιότερα κινητά δεν είναι συμβατή η εφαρμογή .,1,2026-04-27 19:15:23,,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,122
Τραγικό να μην μπορώ να έχω το app στο κινητό λόγω android 10. κάντε κάτι για αυτό η κάντε μου δώρο τηλ με android 10. Απαράδεκτοι,1,2026-04-26 22:44:21,,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,130
"Ότι χειρότερο υπάρχει!! Είμαι δημόσιος υπάλληλος και δυστυχώς επέλεξα την τράπεζα σάς.Απαράδεκτη εξυπηρέτηση πελατών.Και μου έκαναν κατάσχεση σε λογαριασμό μισθοδοσίας δημοσίου υπαλλήλου, δηλωμένο ακατάσχετο!! Κλέφτες!!",1,2026-04-25 07:48:52,4.212.0,4,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,219
δεν μου ανοίγει την εφαρμογή,1,2026-04-24 19:21:11,4.212.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,28
Super Upgraded 👌,5,2026-04-24 13:01:26,4.212.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,16
Εξαιρετική!,5,2026-04-24 12:54:07,4.212.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,11
εξερετηκη,5,2026-04-24 08:40:02,4.212.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,9
"Καλά εκεί στο it της τράπεζας η όπως αλλιώς λέγεται η διεύθυνση τους είναι όλοι πολύ με το σπορ σχετικοί, είναι δυνατόν επειδή κάποιος έχει ένα κινητό με αντροιντ 10 να μην δουλεύουν οι πληρωμές στο app;Δλδ ένα Xiaomi 10lite T που δουλεύει φουλ, είναι γρήγορο πρέπει να το πετάξει κάποιος επειδή η τράπεζα αποφάσισε να μην δουλεύει η εφαρμογή της με android 10qkq1??Η λύση είναι απλή φτιάξτε το άμεσα!! Τροφοδοτείται με δυσαρέσκεια τους πελάτες σας έλεος!! Ούτε για ένα αστεράκι..",1,2026-04-23 17:08:05,4.192.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,480
Απίθανη,5,2026-04-23 15:34:13,4.212.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,7
"Απογοητευτική εμπειρία με το mobile app της Alpha Bank. Μια εβδομάδα δεν μπορώ να χρησιμοποιήσω την κάρτα Fuel Pass. Παρά τις καθημερινές επικοινωνίες με το τηλεφωνικό κέντρο, η μόνη απάντηση που λαμβάνω είναι να κάνω απεγκατάσταση & επανεγκατάσταση της εφαρμογής, κάτι που έχω ήδη κάνει πολλές φορές χωρίς αποτέλεσμα. Είναι ξεκάθαρο ότι το πρόβλημα δεν λύνεται έτσι, ενώ δεν υπάρχει ουσιαστική τεχνική υποστήριξη ή καθοδήγηση. Αν δεν μπορείτε να το υποστηρίξετε σωστά, μην το αναλαμβάνετε.",1,2026-04-23 15:20:10,4.212.0,4,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,490
Δεν γίνεται ανανέωση των υπολοίπων σε λογαριασμους και κάρτες... 🙄😑,2,2026-04-23 13:27:35,4.212.0,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,67
Μετα τα τελευταία updates δεν δουλεύει πια η εφαρμογή στη συσκευή μου. Τραγικοί. Παιδια ετσι που τα κανατε κλειστε το το μαγαζάκι..,1,2026-04-22 17:50:51,,0,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,131
οτι χειρότερο. συνέχεια κολλάει..έλεος,1,2026-04-22 10:16:05,4.212.0,1,,Greece,Alpha_Bank,com.mobileloft.alpha.droid,2026,38
